종목명,Y_Change,Y_TA
한국가스공사,10.256410256410255,22392292108.906883
현대미포조선,-1.7977528089887642,23723689743.724697
삼성카드,-9.8981077147016,3969251561.7408905
쌍용C&E,-16.646706586826348,5765072161.578947
OCI,18.907563025210084,45748324886.63968
BGF리테일,0.2695417789757413,5982691809.716599
팬오션,-28.487690504103163,36321904850.4251
현대오토에버,-17.454545454545457,12044623999.190283
아모레G,-39.46153846153846,7149596901.214575
NH투자증권,-28.68217054263566,7917113098.704453
삼성증권,-24.555555555555557,13841076630.566801
롯데쇼핑,-11.688311688311687,8230289288.663968
호텔신라,-24.254881808838643,29968869827.530365
현대해상,21.27659574468085,13438947166.194332
한미사이언스,-46.42833286575021,9561078205.68826
제일기획,-4.627766599597585,6680637509.109312
한전기술,41.32553606237816,54402745850.607285
GS리테일,-31.16710875331565,8251403568.825911
한화시스템,-17.008797653958943,15505338232.186235
동서,-14.169381107491857,3431326448.785425
에스원,-21.728395061728396,4107802030.769231
씨에스윈드,-22.366710013003903,25261447132.591095
대우건설,-31.585365853658537,13970091699.392712
포스코인터내셔널,-15.086206896551724,23151341010.121456
대한전선,-34.581043956043956,51760546303.23077
현대로템,-14.227642276422763,26009733117.813766
만도,-27.727272727272727,21850069676.923077
BNK금융지주,-13.27319587628866,10023834779.878542
키움증권,-36.67924528301887,7381534014.17004
신세계,-22.956521739130434,17278339734.817814
LS,-6.562054208273895,7118407641.902834
녹십자,-50.07518796992482,19618801805.668015
두산퓨얼셀,-38.16568047337278,33938557268.016193
한화,-16.108452950558213,10473445118.82591
휠라홀딩스,-52.4451939291737,16382533394.939272
영원무역,-11.724915445321308,6297522509.51417
효성,-21.170731707317074,6114384995.141701
후성,73.95348837209302,71808718609.91902
농심,-14.195583596214512,7923661463.562753
롯데칠성,25.0,5861636374.493927
대웅,-45.87352625937835,5733344362.7530365
솔루스첨단소재,-1.55027676218877,29644796589.20648
동원시스템즈,18.94273127753304,4001169997.368421
오뚜기,-21.639042357274402,2116247884.6153846
한샘,-37.904761904761905,16901950019.433199
DL,-12.720403022670027,6292249292.307693
코스모신소재,97.03703703703704,46294379556.68016
에스엘,-14.81994459833795,5292689795.951417
JB금융지주,-1.3386880856760375,4316084280.850203
코오롱인더,-31.45780051150895,22735500133.603237
DGB금융지주,-17.89924973204716,4589571109.797571
LX인터내셔널,11.27450980392157,13706103736.437246
한미반도체,-20.726172465960666,15854265047.975708
동국제강,-39.14027149321267,15343494622.874495
한국앤컴퍼니,-37.00980392156863,1749568106.2753036
아이에스동서,-33.94957983193277,4158685030.5668015
대성홀딩스,87.69633507853402,2823450840.48583
아시아나항공,-16.927083333333336,19921074475.708504
신풍제약,-74.27745664739885,90695318650.60728
두산,-25.05263157894737,11112392263.157894
SK가스,0.8264462809917356,3760893283.40081
현대엘리베이,-48.10606060606061,8354465941.295547
신세계인터내셔날,-22.04433497536946,6152705486.2348175
현대두산인프라코어,-56.660397415978416,16506052744.931173
NHN,-30.236891756539563,8896547830.263159
SK네트웍스,-30.31301482701812,2747507291.9838057
미원에스씨,11.11111111111111,507925030.3643725
코리안리,-14.343845371312309,2469088322.874494
태광산업,-22.544833475661825,787728838.0566802
금호타이어,-56.98529411764706,2496445486.0121455
영풍,-18.153846153846153,964979991.902834
CJ CGV,-24.382207578253706,11064530960.931173
덴티움,34.715821812596005,8412211977.327935
PI첨단소재,-41.02333931777379,12299958069.838057
한일시멘트,-15.479876160990713,8727235303.238867
녹십자홀딩스,-44.26470588235294,3534978376.3157897
동양생명,2.142857142857143,1800689656.2753036
이노션,-29.416282642089094,2142217458.097166
미원상사,-18.097447795823665,517139445.34412956
롯데관광개발,-38.72549019607843,9843624788.866396
한올바이오파마,-25.339366515837103,6973008990.688259
유니드,26.53846153846154,18100251261.133602
지누스,-51.1219512195122,6996023431.983806
대한해운,-22.608695652173914,8024120342.834008
일동제약,98.13664596273291,131428482935.02025
휴켐스,-11.397849462365592,12748107658.097166
GKL,-20.65868263473054,4663560596.558704
진원생명과학,-60.06482231739785,74130332952.76923
제주항공,-32.06433319388277,4784295926.408907
우리종금,-12.427184466019417,4606189033.036437
다우기술,-37.828371278458846,1915224373.8866396
대신증권,-24.30379746835443,1946267750.4048584
현대그린푸드,-27.813953488372096,2392791718.0161943
한섬,-25.29137529137529,3083565825.708502
하나투어,-27.194581922375622,11130270001.032389
세방전지,-44.824016563147,5109526396.761133
삼천리,91.37749737118823,1554973704.8582995
화승엔터프라이즈,-30.1994301994302,3158713835.222672
진에어,-32.01754385964912,6928815782.744939
대상,-26.25,3355531539.0688257
더블유게임즈,-34.764309764309765,10577052282.99595
한화투자증권,-30.114226375908622,20260158366.37652
보령제약,-47.35786623884488,4135134645.3846154
파미셀,-35.19553072625698,14631806927.165993
F&F홀딩스,-51.856763925729446,5606280984.210526
한세실업,-28.54209445585216,8602232601.417004
SK디스커버리,-32.50950570342205,2957973487.651822
동아쏘시오홀딩스,-17.408906882591094,1398389727.9352226
